veracity,path,oldname,id,newname,url
false,../headlines/false/heartbreaking-final-text-sent-by-dad-who-died-from-covid-after-refusing-vaccine2021-12-06-22-06-40.png,heartbreaking-final-text-sent-by-dad-who-died-from-covid-after-refusing-vaccine2021-12-06-22-06-40.png,id118,id118_false.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id118_false.png
false,../headlines/false/jeffrey-epstein-madam-is-very-sick-and-enjoyed-abuse-victim-claims2021-12-06-22-02-54.png,jeffrey-epstein-madam-is-very-sick-and-enjoyed-abuse-victim-claims2021-12-06-22-02-54.png,id122,id122_false.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id122_false.png
true,../headlines/true/r_00033_nytimes-buy-moderna-vaccine.png,r_00033_nytimes-buy-moderna-vaccine.png,id111,id111_true.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id111_true.png
false,../headlines/false/world-worst-boss-stuns-900-workers-by-sacking-them-all-on-zoom-call2021-12-06-22-04-11.png,world-worst-boss-stuns-900-workers-by-sacking-them-all-on-zoom-call2021-12-06-22-04-11.png,id120,id120_false.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id120_false.png
false,../headlines/false/i-was-hit-with-rock-thrown-by-dog-walker-after-picked-up-my-puppy2021-12-06-22-05-55.png,i-was-hit-with-rock-thrown-by-dog-walker-after-picked-up-my-puppy2021-12-06-22-05-55.png,id115,id115_false.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id115_false.png
true,../headlines/true/r_00008_cnn-study-december.png,r_00008_cnn-study-december.png,id121,id121_true.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id121_true.png
false,../headlines/false/framed-naked-photo-of-ghislaine-maxwell-revealed-on-desk-in-epstein-mansion2021-12-06-22-06-18.png,framed-naked-photo-of-ghislaine-maxwell-revealed-on-desk-in-epstein-mansion2021-12-06-22-06-18.png,id127,id127_false.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id127_false.png
true,../headlines/true/r_00041_sciencemag-airport-screening.jpeg,r_00041_sciencemag-airport-screening.jpeg,id104,id104_true.jpeg,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id104_true.jpeg
true,../headlines/true/r_00037_wsj-covid19-vaccine-israel.png,r_00037_wsj-covid19-vaccine-israel.png,id125,id125_true.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id125_true.png
true,../headlines/true/r_00003_bbc-israel-quarantine.jpeg,r_00003_bbc-israel-quarantine.jpeg,id123,id123_true.jpeg,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id123_true.jpeg
true,../headlines/true/r_00006_cnn-crowded-parties.png,r_00006_cnn-crowded-parties.png,id124,id124_true.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id124_true.png
false,../headlines/false/winds-leave-huge-city-centre-christmas-tree-looking-like-leaning-tower-of-pisa2021-12-06-22-04-38.png,winds-leave-huge-city-centre-christmas-tree-looking-like-leaning-tower-of-pisa2021-12-06-22-04-38.png,id105,id105_false.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id105_false.png
false,../headlines/false/15-things-japan-does-sooo-much-better-than-the-s-sorry-but-m-not-sorry2021-12-06-22-07-21.png,15-things-japan-does-sooo-much-better-than-the-s-sorry-but-m-not-sorry2021-12-06-22-07-21.png,id103,id103_false.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id103_false.png
false,../headlines/false/student-18-savaged-by-crocodile-says-mind-went-into-overdrive2021-12-06-22-06-47.png,student-18-savaged-by-crocodile-says-mind-went-into-overdrive2021-12-06-22-06-47.png,id126,id126_false.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id126_false.png
true,../headlines/true/r_00001_apnews-vaccines-nursing-outbreaks.png,r_00001_apnews-vaccines-nursing-outbreaks.png,id107,id107_true.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id107_true.png
true,../headlines/true/r_00017_cidrap-covid-sars.jpeg,r_00017_cidrap-covid-sars.jpeg,id119,id119_true.jpeg,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id119_true.jpeg
true,../headlines/true/r_00026_npr-adults-restaurants.png,r_00026_npr-adults-restaurants.png,id114,id114_true.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id114_true.png
false,../headlines/false/14-of-the-biggest-celeb-fails-from-this-year2021-12-06-22-03-19.png,14-of-the-biggest-celeb-fails-from-this-year2021-12-06-22-03-19.png,id108,id108_false.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id108_false.png
false,../headlines/false/41-products-we-tried-that-you-won-want-to-go-day-without2021-12-06-22-04-18.png,41-products-we-tried-that-you-won-want-to-go-day-without2021-12-06-22-04-18.png,id128,id128_false.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id128_false.png
